review,sentiment
"Starts really well, nice intro and build up for the main characters but after about 5 minutes, the charm is lost.<br /><br />The character is in the same mould as the main protagonist from American Pie and Loser without the supporting cast or innovative storyline that made the Pie movies more of a commercial success.<br /><br />Let's be honest - Heder's acting was pretty poor. Keaton, Daniels and Faris did their best but had no substantial plot or script to get their teeth into The movie just plods on without any pace or clear logical storyline justifying its length.<br /><br />The ending is about as predictable as they come - so predictable I've ticked the spoilers box for this one line.<br /><br />My advice: avoid at all costs unless you really really have nothing else to do/listen to or watch and even then you'll feel the producers just cheated you out of an hour and a half of your life.",negative
"Terrific movie: If you did not watch yet, you must watch. Geena Davis and Samuel L. Jackson are amazing in this movie.<br /><br />Great actors + good story + incredible action scenes > ""The Long Kiss Goodnight"" <br /><br />I give it a 10, A+, 4 stars.",positive
"I've seen hundreds of silent movies. Some will always be classics (such as Nosferatu, Metropolis, The General and Wings) but among them, my favorite is this film (it may not be the best--but a favorite, yes). In fact, when I looked it up on IMDb, I noticed I immediately laughed to myself because the movie was so gosh-darn cute and well-made. Marion Davies proved with this movie she really had great talent and was not JUST William Randolph Hearst's mistress.<br /><br />The story involves a hick from Georgia coming to Hollywood with every expectation that she would be an instant star! Her experiences and the interesting cameos of stars of the era make this a real treat for movie buffs and a must-see!",positive
"i had been looking for this film for so long before i found it, i had seen it when i was younger and loved it, after my second viewing i still loved it and i still do.<br /><br />this is a love/hate film, if you like bottom, young ones, the comic strip, then you will find this funny. If you don't like that kind of humour then don't bother. I love this film and have grown up with these comedy programmes, for me this film is simply placing their comic genius on the big screen.. It is not an award winner by any means but if you just want good wholesome slapstick then this is it!<br /><br />the film lacks the quality of the TV series and this is usually the case with films but it still has enough material to keep you laughing even if a lot of the jokes are pretty similar to their previous work.<br /><br />yes, the humour is a little childish and not to everyone's taste but sometimes you just need that in a film.",positive
"Good: Engaging cinematic firefights, great presentation, vehicles are actually fun to drive, fairly appealing multiplayer, faithful to the movie, and the list goes on.<br /><br />Bad: Main missions are a bit short.<br /><br />This game defines what a ""good"" third person shooter(not necessarily a spy-game) is. Great firefights carry on the story and make you want to complete EVERY single mission through, and unlock all the genuine bonuses the game has to offer. The hype this game had, was lived up to, and I personally think you should buy it, and hook up with a couple of friends and play this one. Loads of fun. <br /><br />The sound in this game, is a rip-roaring achievement from a few previous bond games, and firing a weapon, really feels like you're firing a weapon. It ties in with the aspect that you are a deadly and ruthless spy.<br /><br />All in all, this game makes you excited and satisfied after you make it through, and some multiplayer that can compete with the standards of the crafty James Bond ""Nightfire"" game for gamecube.",positive
"I say this. If you want to see art, you go to an art gallery. If you want to see a movie, you go to a theater. Trying to intertwine art and film proves disastrous in ""Where the Heart Is"". An interesting cast is totally wasted in this embarrassment. You like Dabney Coleman, see ""Short Time"". You like Crispin Glover, see ""Bartleby"". You like Uma Thurman, see ""Kill Bill"". Above all, if you like Christopher Plummer, see ""The Silent Partner"", because his character here, is a terrible embarrassment. In fact this entire production is an embarrassment. Sure the human artwork is intriguing for a few minutes, so make a short, but do not subject an audience to pointless nonsense, masquerading as filmed entertainment. - MERK",negative
"Hey, it's only TV. Sure, it's STAR TREK, the most beloved bla bla, and this is a great one, but it's all relative. What it boils down to is a guy in elf ears grooving with a swatch of pizza-colored shag rug.<br /><br />There's a kind of THIRD MAN noirishness to the tunnel hunt, and it's creepier than many episodes of what is after all one of the better TV shows. The suspense is actually suspenseful. The peril really feels perilous. As a little kid I think I cried when Spock told me that this hideous creature was as sad, scared and horrified as the people it was eating. This was one of my early lessons in empathy, a lesson reinforced by the EMPATH episode which was, if less thrilling, even more melancholy.<br /><br />What bothered me when I was five was that this thing, which looks like meat and tomato barf, somehow actually consists more or less of rock. Now that kind of choice might seem visionary, a hippie designer's idea of through-the-looking-glass one-universism, but it might also just smack of the drug era.",positive
"this movie has lot of downsides and thats all i could see. it is painfully long and awfully directed. i could see whole audience getting impatient and waiting for it to end. run time is way over 3 hrs which could have been edited to less then 2 hrs.<br /><br />transition between stories is average. most people confessed being on seating expecting something better to come out.<br /><br />its funny only in pockets. ambitious project and a below par execution. govinda does a fair job, anil kapoor disappointed me, rest we as expected. if u r expecting anything close to babel or love actually then its no where close.",negative
"How can you tell that a horror movie is terrible? when you can't stop laughing about it of course! The plot has been well covered by other reviewers, so I'll just add a few things on the hilarity of it all.<br /><br />Some reviews have placed the location in South America, others in Africa, I thought it was in some random island in the Pacific. Where exactly does this take place, seems to be a mystery. The cannibal tribe is conformed by a couple of black women some black men, and a man who looks like a young Frank Zappa banging the drums... the Devil God is a large black man with a terrible case of pink eyes.<br /><br />One of the ""freakiest"" moments in the film is when, ""Pablito"" find his partner hanging from a tree covered in what seems to be an orange substance that I assume is blood, starts screaming for minutes on and on (that's actually funny), and then the head of his partner falls in the ground and ""Pablito"" kicks it a bit for what I assume is ""shits n' giggles"" and the eyes actually move...<br /><br />But, of course, then the ""freak"" is gone when you realize the eyes moved because the movie is just bad...<br /><br />I hadn't laughed like this in a loooong while, and I definitely recommend this film for a Sunday afternoon with your friends and you have nothing to do... grab a case of beers and start watching this film, you'll love it! If you are looking for a real horror or gore movie, though... don't' bother.",negative
"Brian De Palma's undeniable virtuosity can't really camouflage the fact that his plot here is a thinly disguised ""Psycho"" carbon copy, but he does provide a genuinely terrifying climax. His ""Blow Out"", made the next year, was an improvement.",positive
"For Urban Cowboy John Travolta plays one of the stronger alpha males ever portrayed on the big screen. He's a decent enough young kid who leaves his parent's homestead and strikes out for the big city of Dallas where his uncle Barry Corbin has promised to find him work in the petrochemical industry. In 1980 that was beginning to boom and Texas was definitely a growing place in the USA.<br /><br />Travolta does a good job in making we the audience care about his character who when you come right down to it is a sexist pig. He meets and marries Debra Winger who's from the same background, but she's got some ideas that women should not be shadows of their men. And when she beats him at Gilley's mechanical bull, a man's game, that's it for him.<br /><br />Scott Glenn who's an ex-convict is working at Gilley's and this film was his breakout role. He's a real snake in Urban Cowboy, he gets Travolta's goat with a mere look and he moves in on Winger. Travolta in turn takes up with rich girl, Madolyn Smith Osborne who's slumming at Gilley's. <br /><br />Despite the characters, Urban Cowboy was really one gigantic commercial for the self-styled biggest honky tonk in the world. Gilley's is no longer there in the suburban Texas community of Pasadena, but the memories do live on. And the best thing about Urban Cowboy is the wonderful score of country/western songs that were featured in the film. I'm not sure if some of the songs were not written specifically for Urban Cowboy, but it's the only reason I can think of why the Motion Picture Academy ignored the musical aspects of this film. I especially liked Johnny Lee's Looking For Love, if it was specifically written for this film, it's a disgrace that it wasn't nominated for Best Song.<br /><br />I liked Debra Winger's character best in this film. She doesn't lose a trace of femininity, but she stands up to Travolta and does it in style. And this review is dedicated to that yet as unknown woman who will one day be the first woman bull-rider in the Professional Bull Riders.",positive
"This movie was on t.v the other day, and I didn't enjoy it at all. The first George of the jungle was a good comedy, but the sequel.... completely awful. The new actor and actress to play the lead roles weren't good at all, they should of had the original actor (Brendon Fraiser) and original actress (i forgot her name) so this movie gets the 0 out of ten rating, not a film that you can sit down and watch and enjoy, this is a film that you turn to another channel or take it back to the shop if hired or bought. It was good to see Ape the ape back, but wasn't as fun as the first, they should of had the new George as Georges son grown up, and still had Bredon and (whats her face) in the film, that would've been a bit better then it was.",negative
"There's something intriguing about disaster movies. The simple, primal premise can lead to several great stories. Granted, most disaster movies tend to explore familiar territory instead but I can usually live with that.<br /><br />Unfortunately, Flood probably marks the low point in the history of this sub-genre. Robert Carlyle is undoubtedly the star of the movie, even though screen time is split between different locations and characters. He gives a barely decent performance. As well, Joanne Whalley is very uneven. Veteran actor Tom Courtenay (he played in Doctor Zhivago for heaven's sake) is particularly bad. I mean, his timing is completely off most of the time and his characterization is extremely poor. What an embarrassing performance for that man. The rest of the cast ranges from decent to really bad with one exception: Jessalyn Gilsig, whom I thought might be there as a plot device/eye candy gives by far the most convincing performance. Doesn't mean much considering how bad everybody else is but still nice to see that she cared.<br /><br />The script is really bad, confusing and cliché. Some of the worse lines I have heard in quite some time are delivered by the actors one after the other.You've seen this story a thousand times. It employs every dramatic hook and tear-jerkers you've seen in ""Outbreak"", ""Armageddon"", the Poseidon movies (original and remake) and many others.<br /><br />The direction is awful. No sense of timing, nothing inspired. The shots are bland, dialog and action both fail to flow. Editing is bad but how do you edit such a mess? Without a doubt, this movie tried to rely way too much on (rather poor) CGI. The human factor, the drama and struggles of the characters are glossed over. Scenes where the characters must actually face the flood are rare and poorly done. The made-for-TV feel gives nausea. Some guy is supposed to go down a rope from an helicopter? No problem, let's show him inside a helicopter and make a really poor cut/editing job and have the next frame with him safely on the ground, in the most obvious way possible.<br /><br />The movie score is rather poor. All over the place, no timing.<br /><br />The ending is probably the worse I have seen in quite some time. Very much like they ran out of ideas. Scrap that, you can't run out of something if you never had it in the first place. Must have ran out of budget.<br /><br />This is a really amateur job. I give it a 2 for using London as a location, which is a nice change, for Gilsig being actually decent in a key support role and for the few CGI shots that were decent (those of the water closing in on London and the gates).<br /><br />Do yourself a favor and check out Day After Tomorrow or just about any disaster movie before this one. This includes older classics like The Towering Inferno.",negative
"This film is a calculated attempt to cash in the success of Sex in the City and Four Weddings and a Funeral. In fact, if they'd called it Sex at a Funeral, they might have done better at the box office.<br /><br />But the film falls between two stools and can't get up. The characters spout improbably bright dialog, but never act in any way remotely recognizable as human. One arbitrary, senseless action follows another to advance what passes for a plot, and one soon tires of the falsity of the whole enterprise.<br /><br />Andie MacDowell gets points for acting her little heart out, but the performing honors are stolen by Imelda Staunton, as of all things, a police detective (don't they have a height requirement over there?). Ms. Staunton seems unable to make a false move. Would that we could say the same about the writer-director.<br /><br />If Notting Hill annoyed you as being bogus, stay away from this one. Phonus bolognus on the half-shell.",negative
"Epic early film, directed by D.W. Griffith. Mae Marsh, her little sister, and their dogs are orphaned - they must go to live with an uncle. Aboard their coach is young couple Lillian Gish and Robert Harron, celebrating the birth of their first child. The coach arrives in Elderbush Gluch. Marsh's uncle tells her she can't keep the dogs, and they are put out. There are Indians (Native Americans) nearby; and, Indians love to eat dog meat (no kidding?). These Indians are hungry! Lionel Barrymore is sympathetic to Ms. Marsh, desiring to help her recover the runaway dogs. While rescuing the puppies, an Indian is shot - resulting in a ""Cowboys vs. Indians"" confrontation.<br /><br />This ""Saga of the American West"" is certainly an important film; however, the reliable Griffith performers begin to overplay their hands, and the story is too contrived. Many of the Griffith elements are in place - some good, and a few bad. ""The Battle at Elderbush Gluch"" foreshadows the later epic, ""Birth of a Nation"". <br /><br />******* The Battle at Elderbush Gulch (3/28/14) D.W. Griffith ~ Mae Marsh, Robert Harron, Lillian Gish",positive
"A good cast is appallingly wasted in this slower than molasses and haphazardly connived comedy. Peter Ustinov tries hard here to bring something to life but the result is a dour bore that misses all the right beats that might have made it watchable. Regardless of the favorable comments here, this film is awful. Badly directed. Badly edited. Badly acted. Badly written. You need to sit through a hundred movies to come across one this bad.<br /><br />The muddled and excruciatingly laggard plot concerns Ustinov conning his way into an American insurance company in order to hack their computer and embezzle millions of pounds. How he does it is beyond lameness and credibility (he just learns his computer skills seemingly overnight by reading some pamphlets, and hoodwinks computer expert Robert Morley into going to South America and stealing his identity).<br /><br />As a side plot, Ustinov romances fellow loner Maggie Smith, who just happens to become his secretary by chance after he gets a flat in her building. She ends up sharing scenes that have sexual undertones with Bob Newhart that go nowhere, while Ustinov goes about grafting the money bit by bit and trying to keep one step ahead of Newhart and Karl Malden. Then he Marries Smith and they fly off to Brazil, which has become the staple finale of almost every British caper comedy since (Nuns on the Run? A Fish Called Wanda?)<br /><br />The surprise twist of an ending is more laughable than everything that came before. By the end I was thinking I must be truly off my rocker to stick out drivel like this. Even a cameo by Cesar Romero didn't help it. One of the most unfunny, poorly paced 'comedies' I've ever seen, and certainly the worst caper. Don't waste your time. If you love this you need to see better films.",negative
"SPOILERS Every major regime uses the country's media to it's own ends. Whether the Nazi banning of certain leaflets, or the televised Chinese alternative of Tianamen Square, Governments have tried to influence the people through different mediums since the beginning of time. In 1925 though, celebrating the failed mutiny of 1905, the Russian Communist Government supported the creation of this film, Battleship Potempkin. A major piece of cinematic history, it remains powerful and beautiful to this very day.<br /><br />Set aboard the Battleship Potempkin, the crew are unhappy. In miserable living conditions and with maggot infested food, they are angry at their upper class suppressors. Now though, after the rotten food, enough is enough. Led by Grigory Vakulinchuk (Aleksandr Antonov), the crew turn upon their masters and fight for their freedom.<br /><br />As far as propaganda goes, ""Battleship Potempkin"" is perfect. Presenting a positive light on the first, unsuccessful, communist mutiny, the film was a useful Soviet tool. Eighty years after the films release though, and the USSR has disappeared completely off the map. The amazing thing about this film though is that whilst the country it's message was intended for has disappeared, the film remains a powerful and worthy piece of cinema.<br /><br />Written and directed by Sergei Eisenstein, the film is surprisingly a joy to watch. It is true, that it is far from what we would nowadays consider 'entertainment', but the film is a beautiful piece of art.<br /><br />Whether it be the scenes aboard the boat or the often talked about scene on the steps of Odessa, everything about this film is perfectly made. The music is powerful and dramatic, the lighting is flawless, even the acting, whilst slightly overdone, is perfect for the piece. Basically, there is no way to fault this film's end product.<br /><br />It's impossible to know how the Russian people received this film upon it's release. Praising a country which has not existed for fifteen years, it's difficult for us to know the full spirits that the film inspires. As a piece of art though, it is magnificent. Beautiful from start to finish, it is far from an easy watch, but it is well worth the effort.",positive
